release_source,split,method,accuracy,balanced_accuracy,macro_f1,macro_precision,macro_recall,prediction_coverage
v0.3.0,cluster30,aac_logistic,0.4264705882352941,0.42784409077512525,0.39573193764933434,0.4011904761904762,0.42784409077512525,1.0
v0.4.0,cluster30,esm2_150m,0.7794117647058824,0.7429266136162689,0.7324137931034482,0.7339722346618898,0.7429266136162689,1.0
v0.4.0,cluster30,esm2_35m,0.7794117647058824,0.7514146772767463,0.7189214446880351,0.7415084915084915,0.7514146772767463,1.0
v0.3.0,cluster30,kmer3_logistic,0.38235294117647056,0.2950781019746537,0.24930306535569696,0.25929824561403503,0.2950781019746537,1.0
v0.3.0,cluster30,length_logistic,0.14705882352941177,0.20839227821986445,0.1479112554112554,0.24546783625730995,0.20839227821986445,1.0
v0.3.0,cluster30,majority,0.4264705882352941,0.2,0.11958762886597937,0.08529411764705883,0.2,1.0
v0.3.0,cluster30,nearest_homolog,0.5,0.2974358974358974,0.2794202898550725,0.4920634920634921,0.2974358974358974,1.0
v0.3.0,cluster50,aac_logistic,0.29411764705882354,0.3096595932802829,0.2756565656565657,0.2848484848484848,0.3096595932802829,1.0
v0.4.0,cluster50,esm2_150m,0.75,0.7132847038019452,0.6964048539427666,0.7017171717171716,0.7132847038019452,1.0
v0.4.0,cluster50,esm2_35m,0.7794117647058824,0.7497642204538756,0.7490610801716386,0.7613131313131313,0.7497642204538756,1.0
v0.3.0,cluster50,kmer3_logistic,0.38235294117647056,0.28936781609195406,0.25156414895220863,0.2254945054945055,0.28936781609195406,1.0
v0.3.0,cluster50,length_logistic,0.11764705882352941,0.16245210727969348,0.0913880742913001,0.15268817204301074,0.16245210727969348,1.0
v0.3.0,cluster50,majority,0.4264705882352941,0.2,0.11958762886597937,0.08529411764705883,0.2,1.0
v0.3.0,cluster50,nearest_homolog,0.5147058823529411,0.3388888888888889,0.3305494505494505,0.4935483870967742,0.3388888888888889,1.0
v0.3.0,cluster70,aac_logistic,0.38235294117647056,0.3369952844090775,0.31914903510811443,0.32775557775557773,0.3369952844090775,1.0
v0.4.0,cluster70,esm2_150m,0.7058823529411765,0.5941128794577071,0.5871062729936571,0.6021688034188035,0.5941128794577071,1.0
v0.4.0,cluster70,esm2_35m,0.8235294117647058,0.776164161508989,0.7777001092214074,0.7966187069635347,0.776164161508989,1.0
v0.3.0,cluster70,kmer3_logistic,0.4852941176470588,0.38121131741821396,0.3864212980002454,0.4155555555555555,0.38121131741821396,1.0
v0.3.0,cluster70,length_logistic,0.17647058823529413,0.22234011199528442,0.150754052149401,0.21512605042016805,0.22234011199528442,1.0
v0.3.0,cluster70,majority,0.4264705882352941,0.2,0.11958762886597937,0.08529411764705883,0.2,1.0
v0.3.0,cluster70,nearest_homolog,0.5147058823529411,0.3224358974358974,0.32525030525030524,0.6935483870967742,0.3224358974358974,1.0
v0.3.0,random,aac_logistic,0.38235294117647056,0.37763041556145005,0.34890821895974783,0.355,0.37763041556145005,1.0
v0.4.0,random,esm2_150m,0.7647058823529411,0.7094385499557914,0.717843137254902,0.7333263510682866,0.7094385499557914,1.0
v0.4.0,random,esm2_35m,0.8235294117647058,0.783001768346596,0.7759113716431961,0.7845907349355625,0.783001768346596,1.0
v0.3.0,random,kmer3_logistic,0.45588235294117646,0.3533745947539051,0.3234731934731935,0.43358974358974367,0.3533745947539051,1.0
v0.3.0,random,length_logistic,0.14705882352941177,0.2152298850574713,0.12479500891265598,0.12959139784946236,0.2152298850574713,1.0
v0.3.0,random,majority,0.4264705882352941,0.2,0.11958762886597937,0.08529411764705883,0.2,1.0
v0.3.0,random,nearest_homolog,0.5147058823529411,0.31965811965811963,0.3038827838827839,0.4935483870967742,0.31965811965811963,1.0
