interval_family,split,method,method_a,method_b,metric,point_estimate,lower,upper,group_count,seed,iterations,valid_iterations,confidence_level,domain,interval_method,resampling
cell,random,majority,,,macro_f1,0.12210526315789474,0.097674418604651175,0.14476190476190476,65,2026,2000,2000,0.94999999999999996,cell:random:macro_f1:majority,percentile,component
cell,random,majority,,,balanced_accuracy,0.20000000000000001,0.20000000000000001,0.20000000000000001,65,2026,2000,2000,0.94999999999999996,cell:random:balanced_accuracy:majority,percentile,component
cell,cluster70,majority,,,macro_f1,0.12210526315789474,0.0954491341991342,0.14509803921568626,64,2026,2000,2000,0.94999999999999996,cell:cluster70:macro_f1:majority,percentile,component
cell,cluster70,majority,,,balanced_accuracy,0.20000000000000001,0.20000000000000001,0.20000000000000001,64,2026,2000,2000,0.94999999999999996,cell:cluster70:balanced_accuracy:majority,percentile,component
cell,cluster50,majority,,,macro_f1,0.12210526315789474,0.094996134020618558,0.14477030812324926,59,2026,2000,2000,0.94999999999999996,cell:cluster50:macro_f1:majority,percentile,component
cell,cluster50,majority,,,balanced_accuracy,0.20000000000000001,0.20000000000000001,0.20000000000000001,59,2026,2000,2000,0.94999999999999996,cell:cluster50:balanced_accuracy:majority,percentile,component
cell,cluster30,majority,,,macro_f1,0.12210526315789474,0.094117647058823528,0.14445238095238089,60,2026,2000,2000,0.94999999999999996,cell:cluster30:macro_f1:majority,percentile,component
cell,cluster30,majority,,,balanced_accuracy,0.20000000000000001,0.20000000000000001,0.20000000000000001,60,2026,2000,2000,0.94999999999999996,cell:cluster30:balanced_accuracy:majority,percentile,component
cell,random,length_logistic,,,macro_f1,0.17068557919621749,0.074589452696764244,0.25178390627506053,65,2026,2000,2000,0.94999999999999996,cell:random:macro_f1:length_logistic,percentile,component
cell,random,length_logistic,,,balanced_accuracy,0.24703065134099617,0.16844870071684589,0.32641108891108889,65,2026,2000,2000,0.94999999999999996,cell:random:balanced_accuracy:length_logistic,percentile,component
cell,cluster70,length_logistic,,,macro_f1,0.14239316239316238,0.067054139935544113,0.22254030138288286,64,2026,2000,2000,0.94999999999999996,cell:cluster70:macro_f1:length_logistic,percentile,component
cell,cluster70,length_logistic,,,balanced_accuracy,0.22933244916003534,0.12402665893943784,0.34578786342123058,64,2026,2000,2000,0.94999999999999996,cell:cluster70:balanced_accuracy:length_logistic,percentile,component
cell,cluster50,length_logistic,,,macro_f1,0.14774321050618386,0.056666083916083916,0.23420777447631902,59,2026,2000,2000,0.94999999999999996,cell:cluster50:macro_f1:length_logistic,percentile,component
cell,cluster50,length_logistic,,,balanced_accuracy,0.23216917182434424,0.12458169934640523,0.34337499999999982,59,2026,2000,2000,0.94999999999999996,cell:cluster50:balanced_accuracy:length_logistic,percentile,component
cell,cluster30,length_logistic,,,macro_f1,0.18938217338217339,0.096177841538306663,0.27798433645207837,60,2026,2000,2000,0.94999999999999996,cell:cluster30:macro_f1:length_logistic,percentile,component
cell,cluster30,length_logistic,,,balanced_accuracy,0.27560207991242469,0.18118853695324283,0.40034615384615369,60,2026,2000,2000,0.94999999999999996,cell:cluster30:balanced_accuracy:length_logistic,percentile,component
