method,split,true_label,predicted_label,count,row_fraction
majority,random,2.7,2.7,29,1
majority,random,2.7,3.1,0,0
majority,random,2.7,1.1,0,0
majority,random,2.7,2.1,0,0
majority,random,2.7,4.1,0,0
majority,random,3.1,2.7,13,1
majority,random,3.1,3.1,0,0
majority,random,3.1,1.1,0,0
majority,random,3.1,2.1,0,0
majority,random,3.1,4.1,0,0
majority,random,1.1,2.7,9,1
majority,random,1.1,3.1,0,0
majority,random,1.1,1.1,0,0
majority,random,1.1,2.1,0,0
majority,random,1.1,4.1,0,0
majority,random,2.1,2.7,8,1
majority,random,2.1,3.1,0,0
majority,random,2.1,1.1,0,0
majority,random,2.1,2.1,0,0
majority,random,2.1,4.1,0,0
majority,random,4.1,2.7,7,1
majority,random,4.1,3.1,0,0
majority,random,4.1,1.1,0,0
majority,random,4.1,2.1,0,0
majority,random,4.1,4.1,0,0
majority,cluster70,2.7,2.7,29,1
majority,cluster70,2.7,3.1,0,0
majority,cluster70,2.7,1.1,0,0
majority,cluster70,2.7,2.1,0,0
majority,cluster70,2.7,4.1,0,0
majority,cluster70,3.1,2.7,13,1
majority,cluster70,3.1,3.1,0,0
majority,cluster70,3.1,1.1,0,0
majority,cluster70,3.1,2.1,0,0
majority,cluster70,3.1,4.1,0,0
majority,cluster70,1.1,2.7,9,1
majority,cluster70,1.1,3.1,0,0
majority,cluster70,1.1,1.1,0,0
majority,cluster70,1.1,2.1,0,0
majority,cluster70,1.1,4.1,0,0
majority,cluster70,2.1,2.7,8,1
majority,cluster70,2.1,3.1,0,0
majority,cluster70,2.1,1.1,0,0
majority,cluster70,2.1,2.1,0,0
majority,cluster70,2.1,4.1,0,0
majority,cluster70,4.1,2.7,7,1
majority,cluster70,4.1,3.1,0,0
majority,cluster70,4.1,1.1,0,0
majority,cluster70,4.1,2.1,0,0
majority,cluster70,4.1,4.1,0,0
majority,cluster50,2.7,2.7,29,1
majority,cluster50,2.7,3.1,0,0
majority,cluster50,2.7,1.1,0,0
majority,cluster50,2.7,2.1,0,0
majority,cluster50,2.7,4.1,0,0
majority,cluster50,3.1,2.7,13,1
majority,cluster50,3.1,3.1,0,0
majority,cluster50,3.1,1.1,0,0
majority,cluster50,3.1,2.1,0,0
majority,cluster50,3.1,4.1,0,0
majority,cluster50,1.1,2.7,9,1
majority,cluster50,1.1,3.1,0,0
majority,cluster50,1.1,1.1,0,0
majority,cluster50,1.1,2.1,0,0
majority,cluster50,1.1,4.1,0,0
majority,cluster50,2.1,2.7,8,1
majority,cluster50,2.1,3.1,0,0
majority,cluster50,2.1,1.1,0,0
majority,cluster50,2.1,2.1,0,0
majority,cluster50,2.1,4.1,0,0
majority,cluster50,4.1,2.7,7,1
majority,cluster50,4.1,3.1,0,0
majority,cluster50,4.1,1.1,0,0
majority,cluster50,4.1,2.1,0,0
majority,cluster50,4.1,4.1,0,0
majority,cluster30,2.7,2.7,29,1
majority,cluster30,2.7,3.1,0,0
majority,cluster30,2.7,1.1,0,0
majority,cluster30,2.7,2.1,0,0
majority,cluster30,2.7,4.1,0,0
majority,cluster30,3.1,2.7,13,1
majority,cluster30,3.1,3.1,0,0
majority,cluster30,3.1,1.1,0,0
majority,cluster30,3.1,2.1,0,0
majority,cluster30,3.1,4.1,0,0
majority,cluster30,1.1,2.7,9,1
majority,cluster30,1.1,3.1,0,0
majority,cluster30,1.1,1.1,0,0
majority,cluster30,1.1,2.1,0,0
majority,cluster30,1.1,4.1,0,0
majority,cluster30,2.1,2.7,8,1
majority,cluster30,2.1,3.1,0,0
majority,cluster30,2.1,1.1,0,0
majority,cluster30,2.1,2.1,0,0
majority,cluster30,2.1,4.1,0,0
majority,cluster30,4.1,2.7,7,1
majority,cluster30,4.1,3.1,0,0
majority,cluster30,4.1,1.1,0,0
majority,cluster30,4.1,2.1,0,0
majority,cluster30,4.1,4.1,0,0
length_logistic,random,2.7,2.7,4,0.13793103448275862
length_logistic,random,2.7,3.1,2,0.068965517241379309
length_logistic,random,2.7,1.1,0,0
length_logistic,random,2.7,2.1,13,0.44827586206896552
length_logistic,random,2.7,4.1,10,0.34482758620689657
length_logistic,random,3.1,2.7,0,0
length_logistic,random,3.1,3.1,0,0
length_logistic,random,3.1,1.1,0,0
length_logistic,random,3.1,2.1,10,0.76923076923076927
length_logistic,random,3.1,4.1,3,0.23076923076923078
length_logistic,random,1.1,2.7,2,0.22222222222222221
length_logistic,random,1.1,3.1,1,0.1111111111111111
length_logistic,random,1.1,1.1,2,0.22222222222222221
length_logistic,random,1.1,2.1,3,0.33333333333333331
length_logistic,random,1.1,4.1,1,0.1111111111111111
length_logistic,random,2.1,2.7,0,0
length_logistic,random,2.1,3.1,0,0
length_logistic,random,2.1,1.1,1,0.125
length_logistic,random,2.1,2.1,7,0.875
length_logistic,random,2.1,4.1,0,0
length_logistic,random,4.1,2.7,1,0.14285714285714285
length_logistic,random,4.1,3.1,0,0
length_logistic,random,4.1,1.1,0,0
length_logistic,random,4.1,2.1,6,0.8571428571428571
length_logistic,random,4.1,4.1,0,0
length_logistic,cluster70,2.7,2.7,1,0.034482758620689655
length_logistic,cluster70,2.7,3.1,4,0.13793103448275862
length_logistic,cluster70,2.7,1.1,11,0.37931034482758619
length_logistic,cluster70,2.7,2.1,13,0.44827586206896552
length_logistic,cluster70,2.7,4.1,0,0
length_logistic,cluster70,3.1,2.7,1,0.076923076923076927
length_logistic,cluster70,3.1,3.1,2,0.15384615384615385
length_logistic,cluster70,3.1,1.1,2,0.15384615384615385
length_logistic,cluster70,3.1,2.1,8,0.61538461538461542
length_logistic,cluster70,3.1,4.1,0,0
length_logistic,cluster70,1.1,2.7,3,0.33333333333333331
length_logistic,cluster70,1.1,3.1,0,0
length_logistic,cluster70,1.1,1.1,3,0.33333333333333331
length_logistic,cluster70,1.1,2.1,3,0.33333333333333331
length_logistic,cluster70,1.1,4.1,0,0
length_logistic,cluster70,2.1,2.7,1,0.125
length_logistic,cluster70,2.1,3.1,0,0
length_logistic,cluster70,2.1,1.1,2,0.25
length_logistic,cluster70,2.1,2.1,5,0.625
length_logistic,cluster70,2.1,4.1,0,0
length_logistic,cluster70,4.1,2.7,1,0.14285714285714285
length_logistic,cluster70,4.1,3.1,1,0.14285714285714285
length_logistic,cluster70,4.1,1.1,3,0.42857142857142855
length_logistic,cluster70,4.1,2.1,2,0.2857142857142857
length_logistic,cluster70,4.1,4.1,0,0
length_logistic,cluster50,2.7,2.7,2,0.068965517241379309
length_logistic,cluster50,2.7,3.1,2,0.068965517241379309
length_logistic,cluster50,2.7,1.1,8,0.27586206896551724
length_logistic,cluster50,2.7,2.1,15,0.51724137931034486
length_logistic,cluster50,2.7,4.1,2,0.068965517241379309
length_logistic,cluster50,3.1,2.7,0,0
length_logistic,cluster50,3.1,3.1,3,0.23076923076923078
length_logistic,cluster50,3.1,1.1,3,0.23076923076923078
length_logistic,cluster50,3.1,2.1,6,0.46153846153846156
length_logistic,cluster50,3.1,4.1,1,0.076923076923076927
length_logistic,cluster50,1.1,2.7,0,0
length_logistic,cluster50,1.1,3.1,3,0.33333333333333331
length_logistic,cluster50,1.1,1.1,1,0.1111111111111111
length_logistic,cluster50,1.1,2.1,5,0.55555555555555558
length_logistic,cluster50,1.1,4.1,0,0
length_logistic,cluster50,2.1,2.7,0,0
length_logistic,cluster50,2.1,3.1,2,0.25
length_logistic,cluster50,2.1,1.1,0,0
length_logistic,cluster50,2.1,2.1,6,0.75
length_logistic,cluster50,2.1,4.1,0,0
length_logistic,cluster50,4.1,2.7,0,0
length_logistic,cluster50,4.1,3.1,1,0.14285714285714285
length_logistic,cluster50,4.1,1.1,2,0.2857142857142857
length_logistic,cluster50,4.1,2.1,4,0.5714285714285714
length_logistic,cluster50,4.1,4.1,0,0
length_logistic,cluster30,2.7,2.7,4,0.13793103448275862
length_logistic,cluster30,2.7,3.1,2,0.068965517241379309
length_logistic,cluster30,2.7,1.1,3,0.10344827586206896
length_logistic,cluster30,2.7,2.1,9,0.31034482758620691
length_logistic,cluster30,2.7,4.1,11,0.37931034482758619
length_logistic,cluster30,3.1,2.7,1,0.076923076923076927
length_logistic,cluster30,3.1,3.1,0,0
length_logistic,cluster30,3.1,1.1,0,0
length_logistic,cluster30,3.1,2.1,9,0.69230769230769229
length_logistic,cluster30,3.1,4.1,3,0.23076923076923078
length_logistic,cluster30,1.1,2.7,1,0.1111111111111111
length_logistic,cluster30,1.1,3.1,3,0.33333333333333331
length_logistic,cluster30,1.1,1.1,2,0.22222222222222221
length_logistic,cluster30,1.1,2.1,0,0
length_logistic,cluster30,1.1,4.1,3,0.33333333333333331
length_logistic,cluster30,2.1,2.7,1,0.125
length_logistic,cluster30,2.1,3.1,0,0
length_logistic,cluster30,2.1,1.1,0,0
length_logistic,cluster30,2.1,2.1,7,0.875
length_logistic,cluster30,2.1,4.1,0,0
length_logistic,cluster30,4.1,2.7,0,0
length_logistic,cluster30,4.1,3.1,0,0
length_logistic,cluster30,4.1,1.1,0,0
length_logistic,cluster30,4.1,2.1,6,0.8571428571428571
length_logistic,cluster30,4.1,4.1,1,0.14285714285714285
aac_logistic,random,2.7,2.7,11,0.37931034482758619
aac_logistic,random,2.7,3.1,3,0.10344827586206896
aac_logistic,random,2.7,1.1,6,0.20689655172413793
aac_logistic,random,2.7,2.1,3,0.10344827586206896
aac_logistic,random,2.7,4.1,6,0.20689655172413793
aac_logistic,random,3.1,2.7,3,0.23076923076923078
aac_logistic,random,3.1,3.1,1,0.076923076923076927
aac_logistic,random,3.1,1.1,2,0.15384615384615385
aac_logistic,random,3.1,2.1,4,0.30769230769230771
aac_logistic,random,3.1,4.1,3,0.23076923076923078
aac_logistic,random,1.1,2.7,2,0.22222222222222221
aac_logistic,random,1.1,3.1,0,0
aac_logistic,random,1.1,1.1,4,0.44444444444444442
aac_logistic,random,1.1,2.1,0,0
aac_logistic,random,1.1,4.1,3,0.33333333333333331
aac_logistic,random,2.1,2.7,3,0.375
aac_logistic,random,2.1,3.1,3,0.375
aac_logistic,random,2.1,1.1,0,0
aac_logistic,random,2.1,2.1,1,0.125
aac_logistic,random,2.1,4.1,1,0.125
aac_logistic,random,4.1,2.7,1,0.14285714285714285
aac_logistic,random,4.1,3.1,0,0
aac_logistic,random,4.1,1.1,3,0.42857142857142855
aac_logistic,random,4.1,2.1,1,0.14285714285714285
aac_logistic,random,4.1,4.1,2,0.2857142857142857
aac_logistic,cluster70,2.7,2.7,13,0.44827586206896552
aac_logistic,cluster70,2.7,3.1,5,0.17241379310344829
aac_logistic,cluster70,2.7,1.1,5,0.17241379310344829
aac_logistic,cluster70,2.7,2.1,3,0.10344827586206896
aac_logistic,cluster70,2.7,4.1,3,0.10344827586206896
aac_logistic,cluster70,3.1,2.7,3,0.23076923076923078
aac_logistic,cluster70,3.1,3.1,5,0.38461538461538464
aac_logistic,cluster70,3.1,1.1,2,0.15384615384615385
aac_logistic,cluster70,3.1,2.1,3,0.23076923076923078
aac_logistic,cluster70,3.1,4.1,0,0
aac_logistic,cluster70,1.1,2.7,0,0
aac_logistic,cluster70,1.1,3.1,1,0.1111111111111111
aac_logistic,cluster70,1.1,1.1,5,0.55555555555555558
aac_logistic,cluster70,1.1,2.1,0,0
aac_logistic,cluster70,1.1,4.1,3,0.33333333333333331
aac_logistic,cluster70,2.1,2.7,3,0.375
aac_logistic,cluster70,2.1,3.1,0,0
aac_logistic,cluster70,2.1,1.1,0,0
aac_logistic,cluster70,2.1,2.1,1,0.125
aac_logistic,cluster70,2.1,4.1,4,0.5
aac_logistic,cluster70,4.1,2.7,1,0.14285714285714285
aac_logistic,cluster70,4.1,3.1,1,0.14285714285714285
aac_logistic,cluster70,4.1,1.1,1,0.14285714285714285
aac_logistic,cluster70,4.1,2.1,2,0.2857142857142857
aac_logistic,cluster70,4.1,4.1,2,0.2857142857142857
aac_logistic,cluster50,2.7,2.7,10,0.34482758620689657
aac_logistic,cluster50,2.7,3.1,4,0.13793103448275862
aac_logistic,cluster50,2.7,1.1,9,0.31034482758620691
aac_logistic,cluster50,2.7,2.1,4,0.13793103448275862
aac_logistic,cluster50,2.7,4.1,2,0.068965517241379309
aac_logistic,cluster50,3.1,2.7,3,0.23076923076923078
aac_logistic,cluster50,3.1,3.1,4,0.30769230769230771
aac_logistic,cluster50,3.1,1.1,2,0.15384615384615385
aac_logistic,cluster50,3.1,2.1,2,0.15384615384615385
aac_logistic,cluster50,3.1,4.1,2,0.15384615384615385
aac_logistic,cluster50,1.1,2.7,3,0.33333333333333331
aac_logistic,cluster50,1.1,3.1,0,0
aac_logistic,cluster50,1.1,1.1,4,0.44444444444444442
aac_logistic,cluster50,1.1,2.1,0,0
aac_logistic,cluster50,1.1,4.1,2,0.22222222222222221
aac_logistic,cluster50,2.1,2.7,0,0
aac_logistic,cluster50,2.1,3.1,1,0.125
aac_logistic,cluster50,2.1,1.1,0,0
aac_logistic,cluster50,2.1,2.1,3,0.375
aac_logistic,cluster50,2.1,4.1,4,0.5
aac_logistic,cluster50,4.1,2.7,2,0.2857142857142857
aac_logistic,cluster50,4.1,3.1,2,0.2857142857142857
aac_logistic,cluster50,4.1,1.1,0,0
aac_logistic,cluster50,4.1,2.1,0,0
aac_logistic,cluster50,4.1,4.1,3,0.42857142857142855
aac_logistic,cluster30,2.7,2.7,14,0.48275862068965519
aac_logistic,cluster30,2.7,3.1,2,0.068965517241379309
aac_logistic,cluster30,2.7,1.1,6,0.20689655172413793
aac_logistic,cluster30,2.7,2.1,2,0.068965517241379309
aac_logistic,cluster30,2.7,4.1,5,0.17241379310344829
aac_logistic,cluster30,3.1,2.7,1,0.076923076923076927
aac_logistic,cluster30,3.1,3.1,2,0.15384615384615385
aac_logistic,cluster30,3.1,1.1,0,0
aac_logistic,cluster30,3.1,2.1,7,0.53846153846153844
aac_logistic,cluster30,3.1,4.1,3,0.23076923076923078
aac_logistic,cluster30,1.1,2.7,2,0.22222222222222221
aac_logistic,cluster30,1.1,3.1,1,0.1111111111111111
aac_logistic,cluster30,1.1,1.1,3,0.33333333333333331
aac_logistic,cluster30,1.1,2.1,1,0.1111111111111111
aac_logistic,cluster30,1.1,4.1,2,0.22222222222222221
aac_logistic,cluster30,2.1,2.7,1,0.125
aac_logistic,cluster30,2.1,3.1,4,0.5
aac_logistic,cluster30,2.1,1.1,0,0
aac_logistic,cluster30,2.1,2.1,2,0.25
aac_logistic,cluster30,2.1,4.1,1,0.125
aac_logistic,cluster30,4.1,2.7,2,0.2857142857142857
aac_logistic,cluster30,4.1,3.1,2,0.2857142857142857
aac_logistic,cluster30,4.1,1.1,2,0.2857142857142857
aac_logistic,cluster30,4.1,2.1,1,0.14285714285714285
aac_logistic,cluster30,4.1,4.1,0,0
kmer3_logistic,random,2.7,2.7,20,0.68965517241379315
kmer3_logistic,random,2.7,3.1,0,0
kmer3_logistic,random,2.7,1.1,5,0.17241379310344829
kmer3_logistic,random,2.7,2.1,3,0.10344827586206896
kmer3_logistic,random,2.7,4.1,1,0.034482758620689655
kmer3_logistic,random,3.1,2.7,5,0.38461538461538464
kmer3_logistic,random,3.1,3.1,1,0.076923076923076927
kmer3_logistic,random,3.1,1.1,2,0.15384615384615385
kmer3_logistic,random,3.1,2.1,4,0.30769230769230771
kmer3_logistic,random,3.1,4.1,1,0.076923076923076927
kmer3_logistic,random,1.1,2.7,0,0
kmer3_logistic,random,1.1,3.1,1,0.1111111111111111
kmer3_logistic,random,1.1,1.1,8,0.88888888888888884
kmer3_logistic,random,1.1,2.1,0,0
kmer3_logistic,random,1.1,4.1,0,0
kmer3_logistic,random,2.1,2.7,4,0.5
kmer3_logistic,random,2.1,3.1,1,0.125
kmer3_logistic,random,2.1,1.1,0,0
kmer3_logistic,random,2.1,2.1,2,0.25
kmer3_logistic,random,2.1,4.1,1,0.125
kmer3_logistic,random,4.1,2.7,1,0.14285714285714285
kmer3_logistic,random,4.1,3.1,0,0
kmer3_logistic,random,4.1,1.1,3,0.42857142857142855
kmer3_logistic,random,4.1,2.1,2,0.2857142857142857
kmer3_logistic,random,4.1,4.1,1,0.14285714285714285
kmer3_logistic,cluster70,2.7,2.7,18,0.62068965517241381
kmer3_logistic,cluster70,2.7,3.1,3,0.10344827586206896
kmer3_logistic,cluster70,2.7,1.1,4,0.13793103448275862
kmer3_logistic,cluster70,2.7,2.1,3,0.10344827586206896
kmer3_logistic,cluster70,2.7,4.1,1,0.034482758620689655
kmer3_logistic,cluster70,3.1,2.7,7,0.53846153846153844
kmer3_logistic,cluster70,3.1,3.1,3,0.23076923076923078
kmer3_logistic,cluster70,3.1,1.1,2,0.15384615384615385
kmer3_logistic,cluster70,3.1,2.1,1,0.076923076923076927
kmer3_logistic,cluster70,3.1,4.1,0,0
kmer3_logistic,cluster70,1.1,2.7,4,0.44444444444444442
kmer3_logistic,cluster70,1.1,3.1,0,0
kmer3_logistic,cluster70,1.1,1.1,5,0.55555555555555558
kmer3_logistic,cluster70,1.1,2.1,0,0
kmer3_logistic,cluster70,1.1,4.1,0,0
kmer3_logistic,cluster70,2.1,2.7,4,0.5
kmer3_logistic,cluster70,2.1,3.1,0,0
kmer3_logistic,cluster70,2.1,1.1,0,0
kmer3_logistic,cluster70,2.1,2.1,3,0.375
kmer3_logistic,cluster70,2.1,4.1,1,0.125
kmer3_logistic,cluster70,4.1,2.7,2,0.2857142857142857
kmer3_logistic,cluster70,4.1,3.1,2,0.2857142857142857
kmer3_logistic,cluster70,4.1,1.1,1,0.14285714285714285
kmer3_logistic,cluster70,4.1,2.1,0,0
kmer3_logistic,cluster70,4.1,4.1,2,0.2857142857142857
kmer3_logistic,cluster50,2.7,2.7,20,0.68965517241379315
kmer3_logistic,cluster50,2.7,3.1,0,0
kmer3_logistic,cluster50,2.7,1.1,1,0.034482758620689655
kmer3_logistic,cluster50,2.7,2.1,4,0.13793103448275862
kmer3_logistic,cluster50,2.7,4.1,4,0.13793103448275862
kmer3_logistic,cluster50,3.1,2.7,8,0.61538461538461542
kmer3_logistic,cluster50,3.1,3.1,1,0.076923076923076927
kmer3_logistic,cluster50,3.1,1.1,2,0.15384615384615385
kmer3_logistic,cluster50,3.1,2.1,2,0.15384615384615385
kmer3_logistic,cluster50,3.1,4.1,0,0
kmer3_logistic,cluster50,1.1,2.7,4,0.44444444444444442
kmer3_logistic,cluster50,1.1,3.1,0,0
kmer3_logistic,cluster50,1.1,1.1,4,0.44444444444444442
kmer3_logistic,cluster50,1.1,2.1,0,0
kmer3_logistic,cluster50,1.1,4.1,1,0.1111111111111111
kmer3_logistic,cluster50,2.1,2.7,5,0.625
kmer3_logistic,cluster50,2.1,3.1,0,0
kmer3_logistic,cluster50,2.1,1.1,0,0
kmer3_logistic,cluster50,2.1,2.1,3,0.375
kmer3_logistic,cluster50,2.1,4.1,0,0
kmer3_logistic,cluster50,4.1,2.7,3,0.42857142857142855
kmer3_logistic,cluster50,4.1,3.1,0,0
kmer3_logistic,cluster50,4.1,1.1,1,0.14285714285714285
kmer3_logistic,cluster50,4.1,2.1,0,0
kmer3_logistic,cluster50,4.1,4.1,3,0.42857142857142855
kmer3_logistic,cluster30,2.7,2.7,22,0.75862068965517238
kmer3_logistic,cluster30,2.7,3.1,0,0
kmer3_logistic,cluster30,2.7,1.1,4,0.13793103448275862
kmer3_logistic,cluster30,2.7,2.1,3,0.10344827586206896
kmer3_logistic,cluster30,2.7,4.1,0,0
kmer3_logistic,cluster30,3.1,2.7,4,0.30769230769230771
kmer3_logistic,cluster30,3.1,3.1,2,0.15384615384615385
kmer3_logistic,cluster30,3.1,1.1,1,0.076923076923076927
kmer3_logistic,cluster30,3.1,2.1,4,0.30769230769230771
kmer3_logistic,cluster30,3.1,4.1,2,0.15384615384615385
kmer3_logistic,cluster30,1.1,2.7,1,0.1111111111111111
kmer3_logistic,cluster30,1.1,3.1,1,0.1111111111111111
kmer3_logistic,cluster30,1.1,1.1,6,0.66666666666666663
kmer3_logistic,cluster30,1.1,2.1,1,0.1111111111111111
kmer3_logistic,cluster30,1.1,4.1,0,0
kmer3_logistic,cluster30,2.1,2.7,2,0.25
kmer3_logistic,cluster30,2.1,3.1,1,0.125
kmer3_logistic,cluster30,2.1,1.1,1,0.125
