method,cluster_threshold,metric,random_point,cluster_point,random_minus_cluster,lower,upper,resampling
majority,70,macro_f1,0.12210526315789474,0.12210526315789474,0,-0.033030992408734756,0.033865231990231955,independent
majority,50,macro_f1,0.12210526315789474,0.12210526315789474,0,-0.036228869768855136,0.035992935226079145,independent
majority,30,macro_f1,0.12210526315789474,0.12210526315789474,0,-0.035839628036222468,0.037329441737602262,independent
length_logistic,70,macro_f1,0.17068557919621749,0.14239316239316238,0.028292416803055109,-0.094816262721305652,0.13479944643213093,independent
length_logistic,50,macro_f1,0.17068557919621749,0.14774321050618386,0.022942368690033632,-0.10659479026720406,0.14832211469016307,independent
length_logistic,30,macro_f1,0.17068557919621749,0.18938217338217339,-0.0186965941859559,-0.15170193948934238,0.11460236964836579,independent
aac_logistic,70,macro_f1,0.23635563316235589,0.3426662148112834,-0.10631058164892751,-0.25823687894976799,0.048355146832815873,independent
aac_logistic,50,macro_f1,0.23635563316235589,0.34902795160617439,-0.1126723184438185,-0.25834769132582897,0.056915919623112564,independent
aac_logistic,30,macro_f1,0.23635563316235589,0.24571428571428572,-0.0093586525519298303,-0.13508103960882595,0.12164809521853456,independent
kmer3_logistic,70,macro_f1,0.35758063837903264,0.4176082251082251,-0.06002758672919245,-0.22078440996183726,0.12833601857578822,independent
kmer3_logistic,50,macro_f1,0.35758063837903264,0.389219339909877,-0.03163870153084436,-0.19465250705902712,0.15779803548795607,independent
kmer3_logistic,30,macro_f1,0.35758063837903264,0.38857500226592956,-0.030994363886896914,-0.1885634120235396,0.13513939700923047,independent
nearest_homolog,70,macro_f1,0.36907175511826679,0.46198412698412694,-0.092912371865860155,-0.24516038101747842,0.080925022160275417,independent
nearest_homolog,50,macro_f1,0.36907175511826679,0.54288264899455718,-0.1738108938762904,-0.34205487976076199,0.046417156089059497,independent
nearest_homolog,30,macro_f1,0.36907175511826679,0.30674733506194174,0.062324420056325047,-0.08968545049384942,0.19356333283536034,independent
esm2_35m,70,macro_f1,0.79727240744189898,0.73484150258343806,0.062430904858460923,-0.096085637423447876,0.2456065273241976,independent
esm2_35m,50,macro_f1,0.79727240744189898,0.85995246583481877,-0.062680058392919791,-0.22172595639723608,0.13155830787011807,independent
esm2_35m,30,macro_f1,0.79727240744189898,0.71312352215773456,0.084148885284164421,-0.091386893879540965,0.27133001069183826,independent
esm2_150m,70,macro_f1,0.7836507936507936,0.80706532935754949,-0.02341453570675589,-0.19532757101166692,0.12364257261732424,independent
esm2_150m,50,macro_f1,0.7836507936507936,0.84385256619810389,-0.060201772547310295,-0.21374129477625603,0.10997855500112733,independent
esm2_150m,30,macro_f1,0.7836507936507936,0.7800191655609614,0.0036316280898321951,-0.15755131429028493,0.19465153904259988,independent
