split,method_a,method_b,metric,point_a,point_b,absolute_metric_difference,lower,upper,resampling
random,esm2_35m,aac_logistic,macro_f1,0.79727240744189898,0.23635563316235589,0.56091677427954312,0.41579007919003302,0.6929053445596548,paired
random,esm2_35m,aac_logistic,balanced_accuracy,0.78840680392404539,0.26227843038187865,0.52612837354216668,0.34829358237547897,0.68766423160173162,paired
random,esm2_35m,kmer3_logistic,macro_f1,0.79727240744189898,0.35758063837903264,0.43969176906286633,0.29754456248489913,0.57670421008981676,paired
random,esm2_35m,kmer3_logistic,balanced_accuracy,0.78840680392404539,0.40966485621658039,0.378741947707465,0.23784199134199147,0.5240708094832135,paired
random,esm2_150m,aac_logistic,macro_f1,0.7836507936507936,0.23635563316235589,0.54729516048843774,0.39236295637937268,0.68922353229120092,paired
random,esm2_150m,aac_logistic,balanced_accuracy,0.77937139488863627,0.26227843038187865,0.51709296450675768,0.32632887700534752,0.69088840081487135,paired
random,esm2_150m,kmer3_logistic,macro_f1,0.7836507936507936,0.35758063837903264,0.42607015527176095,0.27715877679156897,0.57279165466397219,paired
random,esm2_150m,kmer3_logistic,balanced_accuracy,0.77937139488863627,0.40966485621658039,0.36970653867205588,0.22558449675324682,0.52036640211640217,paired
random,esm2_150m,esm2_35m,macro_f1,0.7836507936507936,0.79727240744189898,-0.01362161379110538,-0.097417632448962357,0.06713420263710794,paired
random,esm2_150m,esm2_35m,balanced_accuracy,0.77937139488863627,0.78840680392404539,-0.0090354090354091143,-0.0829068356374809,0.068942404817404615,paired
cluster70,esm2_35m,aac_logistic,macro_f1,0.73484150258343806,0.3426662148112834,0.39217528777215466,0.2366642248642514,0.53512954950106639,paired
cluster70,esm2_35m,aac_logistic,balanced_accuracy,0.7230221885394299,0.35983221759083828,0.36318997094859162,0.20110069444444445,0.51912513091746948,paired
cluster70,esm2_35m,kmer3_logistic,macro_f1,0.73484150258343806,0.4176082251082251,0.31723327747521296,0.1601159396467253,0.4843638590513864,paired
cluster70,esm2_35m,kmer3_logistic,balanced_accuracy,0.7230221885394299,0.41354574544229716,0.30947644309713274,0.15939100915292792,0.46876296655930283,paired
