schema_version,analysis_class,split_order,split_name,method_order,method,label_order,ec_level_2,sequence_count_display,sequence_count,component_count_display,component_count,class_precision,class_recall,class_f1,class_f1_ci_lower,class_f1_ci_upper,dominant_wrong_label,dominant_wrong_count,random_minus_cluster30_class_f1,gap_ci_lower,gap_ci_upper,reporting_status
1,confirmatory,0,random,0,majority,0,2.7,29,29,28,28,0.439393939393939,1,0.610526315789474,0.482758620689655,0.718446601941747,NA,0,NA,NA,NA,reportable
1,confirmatory,0,random,0,majority,1,3.1,13,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,0,majority,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,0,majority,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,0,majority,4,4.1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,1,length-logistic,0,2.7,29,29,28,28,0.571428571428571,0.137931034482759,0.222222222222222,0.054054054054054,0.41025641025641,2.1,13,NA,NA,NA,reportable
1,confirmatory,0,random,1,length-logistic,1,3.1,13,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,1,length-logistic,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,1,length-logistic,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,1,length-logistic,4,4.1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,2,aac-logistic,0,2.7,29,29,28,28,0.55,0.379310344827586,0.448979591836735,0.27027027027027,0.607142857142857,1.1,6,NA,NA,NA,reportable
1,confirmatory,0,random,2,aac-logistic,1,3.1,13,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,2,aac-logistic,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,2,aac-logistic,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,2,aac-logistic,4,4.1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,3,kmer3-logistic,0,2.7,29,29,28,28,0.666666666666667,0.689655172413793,0.677966101694915,0.519962962962963,0.805194805194805,1.1,5,NA,NA,NA,reportable
1,confirmatory,0,random,3,kmer3-logistic,1,3.1,13,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,3,kmer3-logistic,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,3,kmer3-logistic,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,3,kmer3-logistic,4,4.1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,4,nearest-homolog,0,2.7,29,29,28,28,0.508771929824561,1,0.674418604651163,0.545454545454545,0.782608695652174,NA,0,NA,NA,NA,reportable
1,confirmatory,0,random,4,nearest-homolog,1,3.1,13,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,4,nearest-homolog,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,4,nearest-homolog,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,4,nearest-homolog,4,4.1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,5,esm2-35m,0,2.7,29,29,28,28,0.866666666666667,0.896551724137931,0.88135593220339,0.775510204081633,0.957775419641134,3.1,3,NA,NA,NA,reportable
1,confirmatory,0,random,5,esm2-35m,1,3.1,13,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,5,esm2-35m,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,5,esm2-35m,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,5,esm2-35m,4,4.1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
