schema_version,analysis_class,split_order,split_name,method_order,method,metric_order,metric,removal_order,removal_count,removed_sequence_count,remaining_sequence_count_display,remaining_sequence_count,remaining_component_count_display,remaining_component_count,estimate,ci_lower,ci_upper,reporting_status
1,confirmatory,0,random,0,majority,0,accuracy,0,0,0,66,66,65,65,0.439393939393939,0.318181818181818,0.560606060606061,reportable
1,confirmatory,0,random,0,majority,0,accuracy,1,1,2,64,64,64,64,0.421875,0.296875,0.546875,reportable
1,confirmatory,0,random,0,majority,0,accuracy,2,3,4,62,62,62,62,0.435483870967742,0.306451612903226,0.548387096774194,reportable
1,confirmatory,0,random,0,majority,0,accuracy,3,5,6,60,60,60,60,0.45,0.316666666666667,0.566666666666667,reportable
1,confirmatory,0,random,0,majority,1,balanced_accuracy,0,0,0,66,66,65,65,0.2,0.2,0.2,reportable
1,confirmatory,0,random,0,majority,1,balanced_accuracy,1,1,2,64,64,64,64,0.2,0.2,0.2,reportable
1,confirmatory,0,random,0,majority,1,balanced_accuracy,2,3,4,62,62,62,62,0.2,0.2,0.2,reportable
1,confirmatory,0,random,0,majority,1,balanced_accuracy,3,5,6,60,60,60,60,0.2,0.2,0.2,reportable
1,confirmatory,0,random,0,majority,2,macro_f1,0,0,0,66,66,65,65,0.122105263157895,0.097674418604651,0.144761904761905,reportable
1,confirmatory,0,random,0,majority,2,macro_f1,1,1,2,64,64,64,64,0.118681318681319,0.091566265060241,0.141414141414141,reportable
1,confirmatory,0,random,0,majority,2,macro_f1,2,3,4,62,62,62,62,0.121348314606742,0.097560975609756,0.144329896907217,reportable
1,confirmatory,0,random,0,majority,2,macro_f1,3,5,6,60,60,60,60,0.124137931034483,0.09620253164557,0.147368421052632,reportable
1,confirmatory,0,random,1,length-logistic,0,accuracy,0,0,0,66,66,65,65,0.196969696969697,0.104477611940299,0.292307692307692,reportable
1,confirmatory,0,random,1,length-logistic,0,accuracy,1,1,2,64,64,64,64,0.203125,0.109375,0.3125,reportable
1,confirmatory,0,random,1,length-logistic,0,accuracy,2,3,4,62,62,62,62,0.209677419354839,0.112903225806452,0.32258064516129,reportable
1,confirmatory,0,random,1,length-logistic,0,accuracy,3,5,6,60,60,60,60,0.2,0.1,0.316666666666667,reportable
1,confirmatory,0,random,1,length-logistic,1,balanced_accuracy,0,0,0,66,66,65,65,0.247030651340996,0.167848214285714,0.325,reportable
1,confirmatory,0,random,1,length-logistic,1,balanced_accuracy,1,1,2,64,64,64,64,0.249074074074074,0.174072222222222,0.327422222222222,reportable
1,confirmatory,0,random,1,length-logistic,1,balanced_accuracy,2,3,4,62,62,62,62,0.261772486772487,0.172480158730159,0.359746753246753,reportable
1,confirmatory,0,random,1,length-logistic,1,balanced_accuracy,3,5,6,60,60,60,60,0.237962962962963,0.161902281746032,0.330214806744979,reportable
1,confirmatory,0,random,1,length-logistic,2,macro_f1,0,0,0,66,66,65,65,0.170685579196217,0.078594903548464,0.254215807375582,reportable
1,confirmatory,0,random,1,length-logistic,2,macro_f1,1,1,2,64,64,64,64,0.175947712418301,0.079984126984127,0.258414725138775,reportable
1,confirmatory,0,random,1,length-logistic,2,macro_f1,2,3,4,62,62,62,62,0.192175102599179,0.082908944281525,0.283868516258334,reportable
1,confirmatory,0,random,1,length-logistic,2,macro_f1,3,5,6,60,60,60,60,0.163725490196078,0.072019132653061,0.256370230754467,reportable
1,confirmatory,0,random,2,aac-logistic,0,accuracy,0,0,0,66,66,65,65,0.287878787878788,0.181818181818182,0.4,reportable
1,confirmatory,0,random,2,aac-logistic,0,accuracy,1,1,2,64,64,64,64,0.296875,0.1875,0.421875,reportable
1,confirmatory,0,random,2,aac-logistic,0,accuracy,2,3,4,62,62,62,62,0.274193548387097,0.161290322580645,0.387096774193548,reportable
1,confirmatory,0,random,2,aac-logistic,0,accuracy,3,5,6,60,60,60,60,0.266666666666667,0.166666666666667,0.383333333333333,reportable
1,confirmatory,0,random,2,aac-logistic,1,balanced_accuracy,0,0,0,66,66,65,65,0.262278430381879,0.149202277044569,0.390697286430045,reportable
1,confirmatory,0,random,2,aac-logistic,1,balanced_accuracy,1,1,2,64,64,64,64,0.267897842897843,0.156181118881119,0.398579365079365,reportable
1,confirmatory,0,random,2,aac-logistic,1,balanced_accuracy,2,3,4,62,62,62,62,0.236151811151811,0.122558035714286,0.365849893162393,reportable
