schema_version,analysis_class,analysis_id,split_order,split_name,stratum_dimension,stratum_order,stratum_id,stratum_label,method_order,method,metric_order,metric,sequence_count_display,sequence_count,component_count_display,component_count,estimate,ci_lower,ci_upper,bootstrap_iterations,bootstrap_seed,reporting_status
1,confirmatory,v060-component_size,0,random,component_size,0,component_singleton,1,0,majority,0,accuracy,59,59,59,59,0.423728813559322,0.305084745762712,0.559322033898305,2000,2026,reportable
1,confirmatory,v060-component_size,0,random,component_size,0,component_singleton,1,0,majority,1,balanced_accuracy,59,59,59,59,0.2,0.2,0.2,2000,2026,reportable
1,confirmatory,v060-component_size,0,random,component_size,0,component_singleton,1,0,majority,2,macro_f1,59,59,59,59,0.119047619047619,0.093506493506494,0.140659340659341,2000,2026,reportable
1,confirmatory,v060-component_size,0,random,component_size,1,component_02_04,2–4,0,majority,0,accuracy,7,7,6,6,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-component_size,0,random,component_size,1,component_02_04,2–4,0,majority,1,balanced_accuracy,7,7,6,6,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-component_size,0,random,component_size,1,component_02_04,2–4,0,majority,2,macro_f1,7,7,6,6,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-component_size,0,random,component_size,2,component_05_09,5–9,0,majority,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,2,component_05_09,5–9,0,majority,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,2,component_05_09,5–9,0,majority,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,3,component_10_19,10–19,0,majority,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,3,component_10_19,10–19,0,majority,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,3,component_10_19,10–19,0,majority,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,4,component_20_plus,20+,0,majority,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,4,component_20_plus,20+,0,majority,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,4,component_20_plus,20+,0,majority,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,0,component_singleton,1,1,length-logistic,0,accuracy,59,59,59,59,0.203389830508475,0.101694915254237,0.322033898305085,2000,2026,reportable
1,confirmatory,v060-component_size,0,random,component_size,0,component_singleton,1,1,length-logistic,1,balanced_accuracy,59,59,59,59,0.249,0.160342640692641,0.332905529953917,2000,2026,reportable
