schema_version,analysis_class,analysis_id,split_order,split_name,stratum_dimension,stratum_order,stratum_id,stratum_label,method_order,method,metric_order,metric,sequence_count_display,sequence_count,component_count_display,component_count,estimate,ci_lower,ci_upper,bootstrap_iterations,bootstrap_seed,reporting_status
1,confirmatory,v060-length,0,random,length,0,length_050_199,50–199,0,majority,0,accuracy,7,7,7,7,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,0,length_050_199,50–199,0,majority,1,balanced_accuracy,7,7,7,7,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,0,length_050_199,50–199,0,majority,2,macro_f1,7,7,7,7,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,1,length_200_399,200–399,0,majority,0,accuracy,44,44,43,43,0.386363636363636,0.232558139534884,0.545454545454545,2000,2026,reportable
1,confirmatory,v060-length,0,random,length,1,length_200_399,200–399,0,majority,1,balanced_accuracy,44,44,43,43,0.2,0.2,0.2,2000,2026,reportable
1,confirmatory,v060-length,0,random,length,1,length_200_399,200–399,0,majority,2,macro_f1,44,44,43,43,0.111475409836066,0.075471698113208,0.139430217669654,2000,2026,reportable
1,confirmatory,v060-length,0,random,length,2,length_400_599,400–599,0,majority,0,accuracy,11,11,11,11,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,2,length_400_599,400–599,0,majority,1,balanced_accuracy,11,11,11,11,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,2,length_400_599,400–599,0,majority,2,macro_f1,11,11,11,11,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,3,length_600_799,600–799,0,majority,0,accuracy,<5,NA,4,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,3,length_600_799,600–799,0,majority,1,balanced_accuracy,<5,NA,4,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,3,length_600_799,600–799,0,majority,2,macro_f1,<5,NA,4,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,4,length_800_1000,800–1000,0,majority,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,4,length_800_1000,800–1000,0,majority,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,4,length_800_1000,800–1000,0,majority,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
