schema_version,analysis_class,split_order,split_name,stratum_order,stratum_id,measure_order,measure,method_order,method,sequence_count_display,sequence_count,component_count_display,component_count,estimate,ci_lower,ci_upper,reporting_status
1,confirmatory,0,random,0,whole_test,0,hit_count,4,nearest-homolog,66,66,65,65,14,NA,NA,reportable
1,confirmatory,0,random,0,whole_test,1,no_hit_count,4,nearest-homolog,66,66,65,65,52,NA,NA,reportable
1,confirmatory,0,random,0,whole_test,2,fallback_count,4,nearest-homolog,66,66,65,65,52,NA,NA,reportable
1,confirmatory,0,random,0,whole_test,3,no_hit_accuracy,4,nearest-homolog,66,66,65,65,0.461538461538462,NA,NA,reportable
1,confirmatory,0,random,0,whole_test,4,same_label_hit_count,4,nearest-homolog,66,66,65,65,14,NA,NA,reportable
1,confirmatory,0,random,0,whole_test,5,different_label_hit_count,4,nearest-homolog,66,66,65,65,0,NA,NA,reportable
1,confirmatory,0,random,0,whole_test,6,identity_min,4,nearest-homolog,66,66,65,65,0.235,NA,NA,reportable
1,confirmatory,0,random,0,whole_test,7,identity_median,4,nearest-homolog,66,66,65,65,0.292,NA,NA,reportable
1,confirmatory,0,random,0,whole_test,8,identity_mean,4,nearest-homolog,66,66,65,65,0.337857142857143,NA,NA,reportable
1,confirmatory,0,random,0,whole_test,9,identity_p90,4,nearest-homolog,66,66,65,65,0.5252,NA,NA,reportable
1,confirmatory,0,random,0,whole_test,10,identity_p95,4,nearest-homolog,66,66,65,65,0.57105,NA,NA,reportable
1,confirmatory,0,random,0,whole_test,11,identity_max,4,nearest-homolog,66,66,65,65,0.586,NA,NA,reportable
1,confirmatory,0,random,0,whole_test,12,query_coverage_mean,4,nearest-homolog,66,66,65,65,0.933214285714286,NA,NA,reportable
1,confirmatory,0,random,0,whole_test,13,target_coverage_mean,4,nearest-homolog,66,66,65,65,0.932642857142857,NA,NA,reportable
1,confirmatory,0,random,0,whole_test,14,bitscore_mean,4,nearest-homolog,66,66,65,65,167.214285714285722,NA,NA,reportable
1,confirmatory,0,random,0,identity_00_20,15,accuracy,4,nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,0,random,1,identity_20_30,15,accuracy,4,nearest-homolog,10,10,10,10,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,2,identity_30_40,15,accuracy,4,nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,0,random,3,identity_40_50,15,accuracy,4,nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,0,random,4,identity_50_70,15,accuracy,4,nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,0,random,5,identity_70_100,15,accuracy,4,nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,0,random,6,no_hit,15,accuracy,4,nearest-homolog,52,52,52,52,0.461538461538462,0.326923076923077,0.596153846153846,reportable
1,confirmatory,0,random,0,identity_00_20,15,accuracy,6,esm2-150m,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,0,random,1,identity_20_30,15,accuracy,6,esm2-150m,10,10,10,10,NA,NA,NA,insufficient_sequences
1,confirmatory,0,random,2,identity_30_40,15,accuracy,6,esm2-150m,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
