schema_version,analysis_class,analysis_id,split_order,split_name,stratum_dimension,stratum_order,stratum_id,stratum_label,method_order,method,metric_order,metric,sequence_count_display,sequence_count,component_count_display,component_count,estimate,ci_lower,ci_upper,bootstrap_iterations,bootstrap_seed,reporting_status,comparison_split,difference_direction,difference,difference_ci_lower,difference_ci_upper,resampling
1,confirmatory,v060-whole_test,0,random,whole_test,0,whole_test,Whole Test,0,majority,0,accuracy,66,66,65,65,0.439393939393939,0.323076923076923,0.560606060606061,2000,2026,reportable,NA,NA,NA,NA,NA,NA
1,confirmatory,v060-whole_test,0,random,whole_test,0,whole_test,Whole Test,0,majority,1,balanced_accuracy,66,66,65,65,0.2,0.2,0.2,2000,2026,reportable,NA,NA,NA,NA,NA,NA
1,confirmatory,v060-whole_test,0,random,whole_test,0,whole_test,Whole Test,0,majority,2,macro_f1,66,66,65,65,0.122105263157895,0.097674418604651,0.14368932038835,2000,2026,reportable,NA,NA,NA,NA,NA,NA
1,confirmatory,v060-whole_test,0,random,whole_test,0,whole_test,Whole Test,1,length-logistic,0,accuracy,66,66,65,65,0.196969696969697,0.106060606060606,0.29235294117647,2000,2026,reportable,NA,NA,NA,NA,NA,NA
1,confirmatory,v060-whole_test,0,random,whole_test,0,whole_test,Whole Test,1,length-logistic,1,balanced_accuracy,66,66,65,65,0.247030651340996,0.171416361416361,0.327586206896552,2000,2026,reportable,NA,NA,NA,NA,NA,NA
1,confirmatory,v060-whole_test,0,random,whole_test,0,whole_test,Whole Test,1,length-logistic,2,macro_f1,66,66,65,65,0.170685579196217,0.080558539205156,0.253878163878164,2000,2026,reportable,NA,NA,NA,NA,NA,NA
1,confirmatory,v060-whole_test,0,random,whole_test,0,whole_test,Whole Test,2,aac-logistic,0,accuracy,66,66,65,65,0.287878787878788,0.17910447761194,0.4,2000,2026,reportable,NA,NA,NA,NA,NA,NA
1,confirmatory,v060-whole_test,0,random,whole_test,0,whole_test,Whole Test,2,aac-logistic,1,balanced_accuracy,66,66,65,65,0.262278430381879,0.140354545454545,0.38855266955267,2000,2026,reportable,NA,NA,NA,NA,NA,NA
1,confirmatory,v060-whole_test,0,random,whole_test,0,whole_test,Whole Test,2,aac-logistic,2,macro_f1,66,66,65,65,0.236355633162356,0.13855853432282,0.33445399387439,2000,2026,reportable,NA,NA,NA,NA,NA,NA
1,confirmatory,v060-whole_test,0,random,whole_test,0,whole_test,Whole Test,3,kmer3-logistic,0,accuracy,66,66,65,65,0.484848484848485,0.363636363636364,0.606126482213438,2000,2026,reportable,NA,NA,NA,NA,NA,NA
